ra,dec,koi_prad,koi_depth,koi_period,koi_teq,koi_steff,koi_slogg,koi_srad,koi_smass,mission
170.1031027,1.2858679,2.2,,5.6084,766.0,4523.0,,0.69,,k2
282.008765,-18.3795798,1.564,,1.865962,,5129.0,4.655,0.804,1.061,k2
9.8474615,4.7177967,,,10.7946,,5045.0,,0.62,,k2
329.7262534,-10.8750666,1.37,0.0226,5.7619248,,5350.0,,0.83,,k2
232.5552584,-23.0067371,1.283,,4.941907,,5563.0,4.45,0.927,0.881,k2
127.761137,16.9004702,2.62,,16.273563,850.0,5869.0,4.17,1.32,0.94,k2
133.7094899,11.8482712,1.41,,2.151894,1121.0,5068.0,4.59,0.78,0.84,k2
351.7717763,-1.2853435,1.241,,3.648096,813.0,4305.0,,0.602,0.606,k2
352.0865075,-5.7778541,8.4683,,0.8768,,3734.0,4.724,0.515,0.512,k2
339.060796,-5.6026936,0.6739,,10.4404,,4893.0,4.596,0.746,0.8,k2
172.3353708,-1.4551364,1.458,,44.55603,305.2,3844.0,4.704,0.546,0.549,k2
174.9602543,0.603596,4.93,,11.90724,,5748.0,4.43,1.01,0.99,k2
207.3497402,-12.2849182,2.592,,13.86375,638.0,5010.0,,0.713,0.738,k2
263.960982,-21.3840777,1.282,,3.128977,,5140.0,4.625,0.976,1.478,k2
130.8783479,24.4229559,2.67,,12.550171,655.0,5077.0,4.5,0.85,0.83,k2
133.8382032,16.7940663,1.22,,21.194733,569.0,5424.0,4.56,0.8,0.86,k2
67.4128615,22.8825674,1.565,,25.575,420.0,4500.0,4.68,0.677,0.742,k2
174.9602543,0.603596,,,7.91951,,5250.0,4.5,0.881,0.918,k2
282.008765,-18.3795798,1.75,0.0383,1.866025,,,,0.878,,k2
206.8461979,-6.1393369,2.043,,6.00127,789.0,4716.0,,0.689,0.688,k2
342.3858995,-10.6754686,13.3413,1.0361,2.4841975,1232.0,6089.0,4.28,1.28,,k2
335.4068605,-14.8395785,2.16,0.0681,12.263354,,4980.0,,0.76,,k2
125.9864854,22.663226,2.08,0.0965,26.1956,,,,0.656,,k2
133.7094899,11.8482712,2.69,,9.326841,688.0,5068.0,4.59,0.78,0.84,k2
59.8903081,21.2985263,1.837,,5.3518963,1293.0,5775.0,4.25,1.25,0.84,k2
130.5013137,20.3593003,,0.0245,14.443,,5826.08,4.0792,1.54893,1.05,k2
169.4490102,3.8665038,3.2,,5.340888,788.0,4916.0,4.621,0.718,0.79,k2
136.4894259,16.3255146,5.0,0.1054,5.113823,,6890.0,4.274,1.409,,k2
126.9366624,17.5793267,7.50399,1.3002,5.185768,935.0,4664.8,4.68,0.65,,k2
283.6464363,-28.1888472,3.03,0.1453,13.61242,,,,0.793,,k2
172.3353708,-1.4551364,1.11,0.0782,44.5574,,,,0.371,,k2
351.7717763,-1.2853435,2.07,0.0957,6.201467,680.0,4269.0,4.651,0.613,0.614,k2
186.4860415,-1.4047214,2.18,,16.1388,734.0,5839.0,4.42,0.998,0.95,k2
133.7094899,11.8482712,2.23,,26.27057,492.0,5106.0,4.58,0.78,0.84,k2
128.8572472,12.075397,0.67,,4.96883,,3511.0,4.81787,0.409602,0.402278,k2
207.8179518,-5.6346325,15.3,,29.978884,,,,0.94,,k2
127.9373409,19.0745863,,0.067,29.729,,5464.0,4.32739,1.11294,0.96,k2
67.4128615,22.8825674,1.05,,7.9757,,4359.0,4.537,0.723,0.686,k2
137.3794986,16.3558324,1.593,,4.521953,,5789.0,4.386,0.907,0.731,k2
20.4998403,0.7509701,1.345,,9.715043,,3623.0,4.874,0.348,0.33,k2
351.7717763,-1.2853435,1.98,,6.20183,675.0,4236.0,4.7,0.58,0.62,k2
288.0267612,-21.0075789,2.0,,16.038474,,,,0.7,,k2
16.4625203,11.7537171,2.35,,15.38857,871.0,5942.0,,1.115,0.989,k2
8.7401487,4.3807215,3.01,,29.8454,511.0,5261.0,4.47,0.872,0.866,k2
74.6928607,17.2690562,1.579,,0.673862,,5236.0,4.488,0.92,0.954,k2
127.7276048,12.1990464,0.6746,,1.1524,,5992.0,4.386,1.057,0.992,k2
174.9602543,0.603596,7.34,,7.920994,,5345.0,4.394,0.914,0.902,k2
183.7514959,-5.7820178,1.05548088,,0.365257,,5456.0,4.55,0.875749,0.939509,k2
172.3353708,-1.4551364,1.18,,24.6435,,3841.0,4.906,0.371,0.414,k2
129.3896679,16.5220648,,0.0233,12.281,,6272.0,4.27365,1.33471,1.22,k2
240.0333095,-23.1894196,1.55,,4.01593,1184.0,5757.0,4.35,1.1,1.07,k2
130.8783479,24.4229559,3.8,0.1777,4.688625,,5220.0,4.545,0.828,,k2
130.4971951,19.9166357,3.21,,36.552551,598.0,5817.0,4.3,1.16,0.98,k2
351.7717763,-1.2853435,1.75,,1.208957,1043.5,4255.0,4.7,0.651,0.659,k2
133.7094899,11.8482712,,0.0923,9.325,,5035.99,4.55429,0.801255,0.839,k2
174.9602543,0.603596,1.044,,2.50827,1258.0,5350.0,4.556,0.824,0.892,k2
130.082542,18.6929046,,0.0945,5.75,,4678.76,4.60008,0.718666,0.75,k2
154.987604,3.9548275,2.262,,6.293099,,4213.0,4.719,0.675,0.87,k2
133.1218996,21.2386816,2.4,0.0255,11.561514,,6140.0,4.255,1.406,,k2
137.2015437,11.8622503,1.015,,4.0179694,412.4,3173.0,5.066,0.1965,0.1635,k2
188.3864277,-10.1462141,,,5.7214904,,,,,,k2
130.082542,18.6929046,1.92,,19.507428,508.0,4857.0,4.59,0.72,0.74,k2
75.4259195,22.6615625,1.5839,,3.3733,,5634.0,4.494,0.779,0.693,k2
174.9602543,0.603596,1.26,0.019,2.5084894,,5368.0,,0.84,,k2
8.7401487,4.3807215,1.7,0.0294,0.959641,,5261.0,4.47,0.86,0.86,k2
351.7717763,-1.2853435,1.241,,3.6480957,,4340.0,4.66,0.602,0.606,k2
130.2596625,14.6902225,1.19,0.0162,10.6161,,,,0.891,,k2
174.9602543,0.603596,4.37,,12.0028,,5345.0,4.394,0.914,0.902,k2
55.2559307,13.5191871,4.09,0.0869,10.9947,1021.0,5897.0,4.26,1.269,1.06,k2
8.7401487,4.3807215,,,,,,,,,k2
136.4894259,16.3255146,5.65,,5.113981,1380.0,6502.0,4.22,1.49,1.36,k2
329.7262534,-10.8750666,1.37311054,,5.761359,,5744.0,4.57,0.901705,,k2
127.761137,16.9004702,,0.0312,16.271,,5940.0,4.27169,1.25863,1.08,k2
158.0734448,2.2378452,6.049,,0.759978,,5690.0,3.956,1.541,0.783,k2
240.0333095,-23.1894196,2.83,0.0484,10.56131,,,,1.241,,k2
207.6554928,-6.8040714,,3.1165,1.337,,4459.0,4.51739,0.763091,0.699,k2
202.897887,-12.0951142,,0.054,12.83724862,,4314.0,4.57904,0.697984,0.674,k2
172.3353708,-1.4551364,1.52,,44.5631,,3896.0,4.72,0.561,0.601,k2
332.6357627,-11.1661157,1.332,,5.025598,,4663.0,4.667,0.663,0.746,k2
20.4998403,0.7509701,,,13.6274,,3860.0,,0.257,,k2
350.9170464,-1.1891827,1.51,,0.2803244,2103.0,4570.0,,0.681,0.708,k2
67.4128615,22.8825674,1.55,,25.5715,,4359.0,4.537,0.723,0.686,k2
342.3858995,-10.6754686,15.54,0.9384,2.4841981,,,,1.322,,k2
19.4418282,11.3684915,7.322,,28.735327,,3572.0,4.66,0.585,0.57,k2
67.8205302,19.8316901,3.207,,2.14084,,5377.0,4.454,0.971,0.984,k2
199.0996546,-14.4447454,,0.0682,9.029,,5274.0,4.60139,0.786068,0.9,k2
